date,decision,w_sat_prev,w_sat_new,sigma_current,sigma_opt
2021-02-26,insufficient_data,0.25,0.25,,
2021-03-31,insufficient_data,0.25,0.25,,
2021-04-30,insufficient_data,0.25,0.25,,
2021-05-31,insufficient_data,0.25,0.25,,
2021-06-30,insufficient_data,0.25,0.25,,
2021-07-30,insufficient_data,0.25,0.25,,
2021-08-31,insufficient_data,0.25,0.25,,
2021-09-30,insufficient_data,0.25,0.25,,
2021-10-29,insufficient_data,0.25,0.25,,
2021-11-30,insufficient_data,0.25,0.25,,
2021-12-31,insufficient_data,0.25,0.25,,
2022-01-31,insufficient_data,0.25,0.25,,
2022-02-28,insufficient_data,0.25,0.25,,
2022-03-31,insufficient_data,0.25,0.25,,
2022-04-29,insufficient_data,0.25,0.25,,
2022-05-31,insufficient_data,0.25,0.25,,
2022-06-30,insufficient_data,0.25,0.25,,
2022-07-29,insufficient_data,0.25,0.25,,
2022-08-31,insufficient_data,0.25,0.25,,
2022-09-30,insufficient_data,0.25,0.25,,
2022-10-31,insufficient_data,0.25,0.25,,
2022-11-30,insufficient_data,0.25,0.25,,
2022-12-30,insufficient_data,0.25,0.25,,
2023-01-31,keep_deadband,0.25,0.25,0.10058619071354186,0.10058619071354186
2023-02-28,keep_deadband,0.25,0.25,0.09957110251443455,0.09957110251443455
2023-03-31,keep_deadband,0.25,0.25,0.10076501957862188,0.10076501957862188
2023-04-28,keep_deadband,0.25,0.25,0.09958640551684476,0.09958640551684476
2023-05-31,keep_deadband,0.25,0.25,0.10003226033517236,0.10003226033517236
2023-06-30,keep_deadband,0.25,0.25,0.099360159516626,0.099360159516626
2023-07-31,keep_deadband,0.25,0.25,0.09956628516940814,0.09956628516940814
2023-08-31,keep_deadband,0.25,0.25,0.09966141791020841,0.09966141791020841
2023-09-29,keep_deadband,0.25,0.25,0.09821532488025264,0.09821532488025264
2023-10-31,keep_deadband,0.25,0.25,0.0986774358864456,0.0986774358864456
2023-11-30,keep_deadband,0.25,0.25,0.09523435166059409,0.09523435166059409
2023-12-29,rebalance,0.25,0.25,0.0920498731108937,0.0920498731108937
2024-01-31,rebalance,0.25,0.25,0.08979720878741179,0.08979720878741179
2024-02-29,rebalance,0.25,0.25,0.08735955908737726,0.08735955908737726
2024-03-29,rebalance,0.25,0.25,0.08575472765993329,0.08575472765993329
2024-04-30,rebalance,0.25,0.25,0.08231142373293539,0.08231142373293539
2024-05-31,rebalance,0.25,0.25,0.07721802155694153,0.07721802155694153
2024-06-28,rebalance,0.25,0.25,0.07508939868140908,0.07508939868140908
2024-07-31,rebalance,0.25,0.25,0.07467793664220478,0.07467793664220478
2024-08-30,rebalance,0.25,0.25,0.07432671306366519,0.07432671306366519
2024-09-30,rebalance,0.25,0.25,0.07301948293904062,0.07301948293904062
2024-10-31,rebalance,0.25,0.25,0.07166130854670436,0.07166130854670436
2024-11-29,rebalance,0.25,0.25,0.0702680195043691,0.0702680195043691
2024-12-31,rebalance,0.25,0.25,0.06883424395461822,0.06883424395461822
2025-01-31,rebalance,0.25,0.25,0.06879158913228985,0.06879158913228985
2025-02-28,rebalance,0.25,0.25,0.06785574894080984,0.06785574894080984
2025-03-31,rebalance,0.25,0.25,0.0725352827965008,0.0725352827965008
2025-04-30,rebalance,0.25,0.25,0.08674351486224931,0.08674351486224931
2025-05-30,rebalance,0.25,0.25,0.08819462977882152,0.08819462977882152
2025-06-30,rebalance,0.25,0.25,0.08788439159831067,0.08788439159831067
2025-07-31,rebalance,0.25,0.25,0.08803465168073264,0.08803465168073264
2025-08-29,rebalance,0.25,0.25,0.0887756316092592,0.0887756316092592
2025-09-30,rebalance,0.25,0.25,0.08805732454368723,0.08805732454368723
2025-10-31,rebalance,0.25,0.25,0.08880532690230308,0.08880532690230308
2025-11-28,rebalance,0.25,0.25,0.09045645581170472,0.09045645581170472
2025-12-31,rebalance,0.25,0.25,0.09028181721007864,0.09028181721007864
